uid,HH_Hhid,HH_Q02,HH_Q03,HH_Q04,HH_Q05y,HH_Q05m,HH_Q06,HH_Q07,HH_Q08,HH_Q09,HH_Q10,HH_Q11,HH_Q12,HH_Q13,HH_Q14,HH_Q15,HH_Q16,HH_Q17,HH_Q18,HH_Q19,HH_Q20,HH_Q21,HH_Q22,poverty_score
233_4_1,23304,1,1,19360211,76,8,1.0,1.0,2.0,0,1,2,,10.0,2.0,80.0,,2,,10.0,2.0,80.0,,5.0
233_5_1,23305,1,1,19650103,47,8,1.0,1.0,2.0,0,1,2,,1.0,2.0,73.0,,2,,1.0,2.0,70.0,,2.0
233_6_1,23306,1,1,19591126,52,9,1.0,1.0,2.0,0,1,2,,10.0,2.0,70.0,,2,,1.0,2.0,73.0,,4.0
233_10_5,23310,2,4,19940221,18,7,5.0,,,0,1,1,2.0,,,,,1,1.0,,,,,4.0
233_11_1,23311,1,1,19570822,55,0,1.0,1.0,2.0,0,1,2,,1.0,1.0,,70.0,2,,1.0,1.0,,88.0,6.0
234_1_2,23401,2,2,19590914,53,0,1.0,1.0,1.0,0,1,2,,1.0,1.0,,75.0,2,,10.0,2.0,60.0,,5.0
234_3_1,23403,1,1,19501014,61,11,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,2.0,2.0,80.0,,6.0
234_4_1,23404,1,1,19451103,66,10,1.0,1.0,2.0,0,1,2,,10.0,2.0,70.0,,2,,10.0,2.0,78.0,,1.0
234_8_2,23408,2,2,19631228,48,8,1.0,1.0,1.0,0,1,2,,1.0,2.0,74.0,,2,,1.0,2.0,80.0,,3.0
234_9_2,23409,2,1,19671202,44,10,1.0,1.0,1.0,0,1,2,,1.0,2.0,68.0,,2,,1.0,2.0,80.0,,4.0
234_10_2,23410,2,2,19710321,41,7,1.0,1.0,1.0,0,1,2,,1.0,1.0,,75.0,2,,1.0,1.0,,80.0,5.0
234_12_2,23412,2,2,19740203,38,7,1.0,1.0,1.0,0,1,2,,10.0,2.0,75.0,,2,,1.0,1.0,,78.0,2.0
235_1_2,23501,2,2,19701005,41,11,1.0,1.0,1.0,0,1,2,,2.0,1.0,,70.0,2,,1.0,1.0,,73.0,5.0
235_2_2,23502,2,2,19660125,46,7,1.0,1.0,1.0,0,1,2,,1.0,2.0,87.0,,2,,1.0,2.0,88.0,,4.0
235_3_2,23503,2,7,19370818,75,0,1.0,2.0,,0,1,2,,1.0,2.0,77.0,,2,,1.0,2.0,81.0,,4.0
235_4_1,23504,1,1,19500202,62,7,1.0,1.0,2.0,0,1,2,,9.0,2.0,83.0,,2,,1.0,2.0,79.0,,4.0
235_5_1,23505,1,1,19530913,58,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,85.0,,2,,1.0,2.0,83.0,,5.0
235_6_1,23506,2,1,19571029,54,10,1.0,2.0,,0,1,2,,1.0,2.0,88.0,,2,,1.0,2.0,85.0,,4.0
235_7_1,23507,1,1,19740504,38,4,1.0,1.0,2.0,0,1,2,,1.0,1.0,,68.0,2,,1.0,1.0,,76.0,3.0
235_8_1,23508,1,1,19720313,40,5,1.0,1.0,2.0,0,1,2,,1.0,1.0,,62.0,2,,1.0,2.0,65.0,,3.0
236_1_3,23601,2,4,19960321,16,6,5.0,,,0,1,1,1.0,,,,,2,,10.0,2.0,40.0,,2.0
236_2_2,23602,2,2,19730223,39,7,1.0,1.0,1.0,0,1,2,,1.0,2.0,78.0,,2,,1.0,2.0,82.0,,8.0
236_3_1,23603,1,1,19640220,48,6,1.0,1.0,2.0,0,1,2,,3.0,2.0,70.0,,2,,1.0,2.0,75.0,,5.0
236_4_1,23604,1,1,19510211,61,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,88.0,,6.0
236_5_2,23605,2,2,19500825,62,0,1.0,1.0,1.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,73.0,,4.0
236_7_1,23607,1,1,19790429,33,4,1.0,1.0,2.0,0,1,2,,1.0,1.0,,56.0,2,,2.0,1.0,,64.0,4.0
236_8_2,23608,2,2,19531210,58,9,1.0,1.0,1.0,0,1,2,,1.0,2.0,82.0,,2,,10.0,2.0,78.0,,5.0
237_1_2,23701,2,2,19740828,38,0,1.0,1.0,1.0,0,1,2,,3.0,1.0,,58.0,2,,3.0,1.0,,60.0,5.0
237_2_1,23702,1,1,19600525,52,3,1.0,1.0,2.0,0,1,2,,2.0,1.0,,75.0,2,,2.0,1.0,,80.0,5.0
237_3_2,23703,2,2,19910730,21,1,1.0,1.0,1.0,0,1,2,,3.0,1.0,,45.0,2,,3.0,1.0,,48.0,4.0
237_4_1,23704,1,1,19660210,46,6,1.0,1.0,2.0,0,1,2,,3.0,1.0,,65.0,2,,3.0,1.0,,70.0,4.0
237_5_2,23705,2,2,19660528,46,3,1.0,1.0,1.0,0,1,2,,3.0,1.0,,65.0,2,,3.0,1.0,,68.0,3.0
237_6_3,23706,2,9,19830809,29,0,1.0,1.0,2.0,0,1,2,,3.0,1.0,,57.0,2,,4.0,1.0,,60.0,4.0
237_7_1,23707,1,1,19621217,49,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,70.0,,2,,2.0,2.0,75.0,,5.0
238_1_2,23801,2,2,19621123,49,9,1.0,1.0,1.0,0,1,2,,1.0,1.0,,80.0,2,,1.0,2.0,83.0,,4.0
238_2_2,23802,2,2,19600420,52,4,1.0,1.0,1.0,0,1,2,,2.0,1.0,,71.0,2,,2.0,1.0,,74.0,4.0
238_3_1,23803,1,1,19651016,46,10,1.0,1.0,2.0,0,1,2,,1.0,1.0,,82.0,2,,2.0,2.0,70.0,,4.0
238_5_1,23805,1,1,19530404,59,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,81.0,,2,,1.0,2.0,72.0,,5.0
238_7_2,23807,2,2,19520526,60,3,1.0,1.0,1.0,0,1,2,,1.0,1.0,,80.0,2,,1.0,2.0,83.0,,5.0
238_8_2,23808,2,2,19820713,30,2,1.0,1.0,1.0,0,1,2,,3.0,1.0,,52.0,2,,3.0,1.0,,55.0,4.0
239_1_2,23901,2,2,19690714,43,2,1.0,1.0,1.0,0,1,2,,3.0,1.0,,64.0,2,,2.0,1.0,,69.0,4.0
239_2_2,23902,2,2,19730426,39,4,1.0,1.0,1.0,0,1,2,,3.0,1.0,,62.0,2,,3.0,1.0,,65.0,4.0
239_5_2,23905,2,2,19400413,72,5,1.0,1.0,1.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,83.0,,5.0
239_7_1,23907,1,1,19570225,55,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,73.0,,2,,1.0,2.0,78.0,,4.0
239_8_1,23908,1,1,19490607,63,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,83.0,,2,,1.0,2.0,62.0,,5.0
239_9_2,23909,2,2,19581125,53,9,1.0,1.0,1.0,0,1,2,,1.0,2.0,76.0,,2,,1.0,2.0,79.0,,5.0
240_1_1,24001,1,1,19630510,49,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,90.0,,3.0
240_3_1,24003,1,1,19810925,30,11,1.0,1.0,2.0,1,1,1,5.0,,,,,1,4.0,,,,,5.0
240_4_2,24004,2,2,19530414,59,4,1.0,1.0,1.0,0,1,2,,1.0,2.0,73.0,,2,,2.0,2.0,78.0,,5.0
240_5_1,24005,1,1,19730305,39,5,1.0,1.0,2.0,1,1,2,,8.0,1.0,,61.0,2,,3.0,1.0,,67.0,4.0
240_6_1,24006,1,1,19600517,52,3,1.0,1.0,2.0,0,1,2,,3.0,1.0,,80.0,2,,1.0,1.0,,85.0,5.0
240_10_1,24010,1,1,19570418,55,4,1.0,1.0,2.0,0,1,2,,1.0,2.0,65.0,,2,,1.0,2.0,90.0,,3.0
240_12_1,24012,1,1,19580121,54,7,1.0,1.0,2.0,0,1,1,6.0,,,,,1,5.0,,,,,3.0
241_2_1,24102,1,1,19511022,60,10,1.0,1.0,2.0,0,1,1,3.0,,,,,2,,1.0,2.0,84.0,,3.0
241_3_1,24103,1,1,19641122,47,9,1.0,1.0,2.0,0,1,2,,2.0,1.0,,68.0,2,,3.0,1.0,,77.0,4.0
241_4_1,24104,1,1,19640910,48,0,1.0,1.0,2.0,0,1,2,,1.0,1.0,,70.0,2,,2.0,1.0,,77.0,4.0
241_5_1,24105,2,1,19350324,77,5,4.0,,,0,1,2,,1.0,2.0,73.0,,2,,1.0,2.0,68.0,,3.0
241_6_1,24106,1,1,19540314,58,5,1.0,1.0,2.0,0,1,2,,1.0,1.0,,88.0,2,,1.0,2.0,90.0,,6.0
241_7_1,24107,1,1,19480825,64,0,1.0,1.0,2.0,1,1,2,,1.0,1.0,,78.0,2,,1.0,2.0,77.0,,5.0
241_8_1,24108,1,1,19670414,45,4,1.0,1.0,2.0,0,1,2,,1.0,2.0,86.0,,2,,1.0,2.0,83.0,,3.0
242_2_2,24202,2,2,19780621,34,2,1.0,1.0,1.0,0,1,2,,3.0,1.0,,55.0,2,,3.0,1.0,,65.0,6.0
242_3_2,24203,2,2,19771031,34,10,1.0,1.0,1.0,0,1,2,,3.0,1.0,,61.0,2,,3.0,1.0,,71.0,6.0
242_7_2,24207,2,2,19380807,74,1,1.0,1.0,1.0,0,1,2,,2.0,2.0,70.0,,2,,2.0,2.0,80.0,,5.0
242_8_1,24208,2,1,19280122,84,7,4.0,,,0,1,2,,2.0,2.0,75.0,,2,,2.0,2.0,75.0,,5.0
242_9_1,24209,1,1,19540703,58,2,1.0,1.0,2.0,0,1,2,,3.0,1.0,,80.0,2,,3.0,2.0,72.0,,6.0
242_11_1,24211,1,1,19550605,57,3,1.0,1.0,2.0,0,1,2,,3.0,1.0,,80.0,2,,3.0,2.0,76.0,,6.0
243_3_1,24303,1,1,19600312,52,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,51.0,,4.0
243_4_1,24304,1,1,19460407,66,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,59.0,,2,,1.0,2.0,75.0,,5.0
243_5_1,24305,1,1,19570810,55,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,68.0,,2.0
243_6_1,24306,1,1,19500312,62,6,5.0,,,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,82.0,,4.0
243_7_1,24307,2,1,19270404,85,5,4.0,,,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,80.0,,4.0
243_9_1,24309,2,1,19200212,92,7,4.0,,,0,1,2,,1.0,2.0,73.0,,2,,1.0,2.0,78.0,,3.0
243_11_1,24311,1,1,19501124,61,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,95.0,,2,,1.0,2.0,97.0,,5.0
243_12_1,24312,1,1,19470620,65,2,1.0,1.0,2.0,0,1,2,,1.0,2.0,76.0,,2,,1.0,2.0,82.0,,4.0
244_2_1,24402,1,1,19570124,55,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,82.0,,2,,2.0,2.0,78.0,,7.0
244_3_1,24403,1,1,19590105,53,8,1.0,1.0,2.0,0,1,2,,3.0,1.0,,75.0,2,,3.0,2.0,70.0,,4.0
244_4_1,24404,1,1,19680311,44,6,1.0,1.0,2.0,0,1,2,,3.0,1.0,,66.0,2,,3.0,1.0,,74.0,4.0
244_5_1,24405,1,1,19630305,49,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,75.0,2,,2.0,2.0,82.0,,7.0
244_6_1,24406,1,1,19770111,35,8,1.0,1.0,2.0,0,1,2,,7.0,1.0,,54.0,2,,7.0,1.0,,58.0,5.0
244_7_1,24407,1,1,19601008,51,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,27.0,,2,,7.0,2.0,73.0,,7.0
245_1_1,24501,1,1,19530612,59,3,1.0,1.0,2.0,0,1,2,,2.0,2.0,87.0,,2,,1.0,1.0,,73.0,4.0
245_5_1,24505,1,1,19440322,68,5,4.0,,,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,74.0,,3.0
245_6_1,24506,1,1,19420312,70,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,56.0,,4.0
245_7_1,24507,1,1,19521031,59,10,1.0,1.0,2.0,0,1,2,,1.0,2.0,83.0,,2,,1.0,2.0,78.0,,7.0
245_9_1,24509,1,1,19420311,70,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,78.0,,2,,2.0,2.0,63.0,,4.0
245_11_1,24511,1,1,19640813,48,1,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,1.0,2.0,48.0,,4.0
246_2_1,24602,1,1,19600602,52,3,1.0,1.0,2.0,0,1,2,,3.0,2.0,65.0,,2,,2.0,2.0,52.0,,1.0
246_3_1,24603,1,1,19540715,58,2,1.0,1.0,2.0,0,1,2,,1.0,1.0,,70.0,2,,1.0,2.0,75.0,,4.0
246_4_1,24604,1,1,19800211,32,7,1.0,1.0,2.0,0,1,2,,1.0,1.0,,63.0,2,,1.0,2.0,70.0,,3.0
246_7_1,24607,1,1,19561201,55,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,69.0,,2,,1.0,2.0,70.0,,6.0
246_8_1,24608,1,1,19690627,43,2,1.0,1.0,2.0,0,1,2,,4.0,2.0,52.0,,2,,4.0,2.0,65.0,,4.0
246_9_1,24609,1,1,19640410,48,5,1.0,1.0,2.0,0,1,2,,3.0,2.0,54.0,,2,,2.0,2.0,60.0,,4.0
246_11_1,24611,1,1,19850402,27,5,1.0,1.0,2.0,0,1,2,,3.0,1.0,,50.0,2,,3.0,1.0,,55.0,8.0
247_2_1,24702,1,1,19730203,39,7,1.0,1.0,2.0,0,1,2,,3.0,1.0,,62.0,2,,3.0,1.0,,68.0,1.0
247_9_1,24709,1,1,19560128,56,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,92.0,,2,,1.0,2.0,65.0,,3.0
247_10_1,24710,1,1,19530401,59,5,1.0,1.0,2.0,0,1,2,,2.0,2.0,90.0,,2,,2.0,2.0,90.0,,7.0
247_11_1,24711,1,1,19570318,55,6,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,1.0,2.0,86.0,,4.0
247_12_1,24712,1,1,19670422,45,5,1.0,1.0,2.0,0,1,2,,1.0,1.0,,84.0,2,,1.0,2.0,90.0,,3.0
248_5_1,24805,1,1,19290602,83,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,84.0,,8.0
248_7_1,24807,2,1,19430212,69,6,4.0,,,0,1,2,,1.0,1.0,,89.0,2,,1.0,2.0,73.0,,6.0
248_8_1,24808,1,1,19551110,56,9,1.0,1.0,2.0,0,1,2,,2.0,2.0,75.0,,2,,3.0,2.0,80.0,,6.0
248_9_1,24809,1,1,19781001,33,11,1.0,1.0,2.0,0,1,2,,5.0,1.0,,60.0,2,,3.0,1.0,,65.0,2.0
249_1_1,24901,1,1,19700117,42,8,1.0,1.0,2.0,0,1,2,,9.0,1.0,,67.0,2,,5.0,1.0,,67.0,5.0
249_5_1,24905,1,1,19500109,62,8,1.0,1.0,2.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,74.0,,3.0
249_8_1,24908,1,1,19510129,61,7,1.0,1.0,2.0,0,1,2,,1.0,1.0,,84.0,2,,1.0,2.0,75.0,,5.0
249_9_1,24909,2,1,19740106,38,8,4.0,,,0,1,2,,1.0,1.0,,73.0,2,,1.0,2.0,73.0,,2.0
249_10_1,24910,1,1,19680723,44,1,1.0,1.0,2.0,0,1,2,,2.0,1.0,,70.0,2,,2.0,1.0,,73.0,3.0
250_1_1,25001,1,1,19760509,36,4,1.0,1.0,2.0,0,1,2,,3.0,1.0,,70.0,2,,3.0,1.0,,75.0,4.0
250_4_1,25004,1,1,19480212,64,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,84.0,,2,,3.0,2.0,78.0,,3.0
250_5_1,25005,1,1,19630526,49,3,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,7.0,2.0,75.0,,4.0
250_7_1,25007,1,1,19440102,68,8,1.0,1.0,2.0,0,1,2,,1.0,2.0,84.0,,2,,1.0,2.0,24.0,,5.0
251_1_2,25101,1,4,19590611,53,2,1.0,1.0,3.0,0,1,1,1.0,,,,,2,,3.0,2.0,58.0,,3.0
251_3_1,25103,1,1,19551126,56,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,87.0,,2,,1.0,1.0,,74.0,3.0
251_4_1,25104,1,1,19601116,51,9,1.0,1.0,2.0,0,1,2,,3.0,2.0,62.0,,2,,5.0,2.0,70.0,,2.0
251_5_1,25105,1,1,19600305,52,6,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,7.0,2.0,60.0,,3.0
251_6_1,25106,1,1,19610401,51,5,1.0,1.0,2.0,0,1,2,,3.0,2.0,73.0,,2,,3.0,2.0,64.0,,4.0
251_7_1,25107,1,1,19600211,52,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,60.0,,2,,2.0,2.0,65.0,,2.0
251_8_1,25108,1,1,19610627,51,2,1.0,1.0,2.0,0,1,2,,1.0,2.0,76.0,,2,,6.0,2.0,48.0,,2.0
252_1_1,25201,1,1,19670723,45,1,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,2.0,2.0,66.0,,4.0
252_2_1,25202,1,1,19710713,41,1,1.0,1.0,2.0,0,1,2,,4.0,1.0,,62.0,2,,3.0,1.0,,69.0,4.0
252_3_1,25203,1,1,19350201,77,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,77.0,,2,,1.0,2.0,74.0,,4.0
252_4_1,25204,1,1,19640213,48,6,1.0,1.0,2.0,0,1,1,6.0,,,,,1,5.0,,,,,5.0
252_5_1,25205,1,1,19530301,59,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,83.0,,2,,2.0,2.0,62.0,,5.0
252_6_1,25206,1,1,19290710,83,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,93.0,,2,,1.0,2.0,85.0,,5.0
252_7_1,25207,1,1,19460915,65,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,91.0,,2,,3.0,2.0,87.0,,4.0
252_9_1,25209,1,1,19470228,65,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,88.0,2,,2.0,2.0,23.0,,4.0
253_1_1,25301,1,1,19391202,72,9,1.0,1.0,2.0,0,1,2,,2.0,2.0,54.0,,2,,1.0,2.0,56.0,,3.0
253_3_1,25303,2,1,19390825,73,0,4.0,,,6,1,2,,2.0,2.0,87.0,,2,,2.0,2.0,90.0,,4.0
253_5_1,25305,1,1,19611226,50,8,1.0,1.0,2.0,0,1,2,,10.0,1.0,,65.0,2,,7.0,2.0,72.0,,3.0
253_6_1,25306,1,1,19300308,82,6,4.0,,,0,1,2,,1.0,2.0,80.0,,2,,3.0,2.0,75.0,,4.0
253_7_1,25307,1,1,19690315,43,5,1.0,1.0,2.0,0,1,2,,3.0,1.0,,60.0,2,,5.0,1.0,,65.0,4.0
253_9_1,25309,1,1,19680918,43,11,1.0,1.0,2.0,0,1,2,,2.0,1.0,,67.0,2,,2.0,2.0,45.0,,5.0
253_11_1,25311,1,1,19531129,58,9,5.0,,,0,1,2,,5.0,2.0,68.0,,2,,9.0,2.0,83.0,,7.0
254_1_1,25401,1,1,19560313,56,5,1.0,1.0,2.0,0,1,2,,1.0,1.0,,87.0,2,,1.0,2.0,38.0,,3.0
254_2_1,25402,1,1,19570808,55,0,1.0,1.0,2.0,0,1,1,4.0,,,,,2,,7.0,2.0,69.0,,4.0
254_3_1,25403,1,1,19740826,38,0,1.0,1.0,2.0,0,1,2,,10.0,2.0,52.0,,2,,5.0,2.0,51.0,,5.0
254_7_1,25407,1,1,19820306,30,5,1.0,1.0,2.0,0,1,2,,10.0,1.0,,47.0,2,,10.0,1.0,,58.0,4.0
254_8_1,25408,2,1,19650311,47,5,5.0,,,0,1,2,,3.0,1.0,,68.0,2,,9.0,1.0,,68.0,5.0
254_9_1,25409,1,1,19550910,56,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,78.0,,2,,3.0,2.0,62.0,,5.0
255_4_1,25504,1,1,19601225,51,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,83.0,,2,,2.0,2.0,75.0,,4.0
255_6_1,25506,1,1,19460814,66,0,1.0,1.0,2.0,0,1,2,,3.0,2.0,77.0,,2,,4.0,2.0,34.0,,5.0
255_7_1,25507,1,1,19510905,61,0,1.0,1.0,2.0,0,1,2,,3.0,2.0,73.0,,2,,5.0,2.0,46.0,,5.0
255_8_1,25508,1,1,19770718,35,1,1.0,1.0,2.0,0,1,2,,3.0,1.0,,56.0,2,,9.0,1.0,,58.0,6.0
255_10_1,25510,1,1,19490611,63,2,1.0,1.0,2.0,0,1,2,,5.0,2.0,82.0,,2,,5.0,2.0,58.0,,3.0
255_11_1,25511,1,1,19540212,58,6,1.0,1.0,2.0,0,1,2,,3.0,2.0,85.0,,2,,1.0,2.0,90.0,,5.0
256_2_1,25602,1,1,19460525,66,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,84.0,,2,,1.0,2.0,45.0,,3.0
256_5_3,25605,1,4,19710912,41,0,1.0,1.0,4.0,0,1,1,2.0,,,,,1,1.0,,,,,6.0
256_6_1,25606,1,1,19520225,60,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,58.0,,2,,2.0,2.0,88.0,,4.0
256_10_1,25610,1,1,19660115,46,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,78.0,,2,,1.0,2.0,78.0,,3.0
256_11_1,25611,1,1,19510504,61,4,1.0,1.0,2.0,0,1,2,,3.0,2.0,80.0,,2,,5.0,2.0,74.0,,6.0
256_12_1,25612,2,1,19370726,75,1,4.0,,,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,70.0,,3.0
257_4_1,25704,2,1,19490630,63,2,2.0,2.0,,0,1,2,,3.0,2.0,82.0,,2,,5.0,2.0,71.0,,4.0
257_7_1,25707,1,1,19390904,73,0,1.0,1.0,2.0,0,1,2,,2.0,2.0,90.0,,2,,2.0,2.0,70.0,,4.0
257_9_1,25709,1,1,19510720,61,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,74.0,,2,,1.0,2.0,77.0,,3.0
257_10_1,25710,1,1,19560716,56,2,1.0,1.0,2.0,0,1,2,,2.0,2.0,78.0,,2,,1.0,2.0,91.0,,3.0
257_12_1,25712,1,1,19630720,49,1,1.0,1.0,2.0,0,1,2,,2.0,1.0,,73.0,2,,2.0,1.0,,73.0,4.0
258_5_1,25805,1,1,19710106,41,7,1.0,1.0,2.0,0,1,1,5.0,,,,,1,4.0,,,,,7.0
258_6_1,25806,1,1,19641111,47,9,1.0,1.0,2.0,0,1,2,,5.0,2.0,70.0,,2,,1.0,2.0,75.0,,3.0
258_8_1,25808,1,1,19670609,45,2,1.0,1.0,2.0,0,1,2,,2.0,1.0,,78.0,2,,1.0,2.0,86.0,,2.0
259_1_1,25901,1,1,19660802,46,1,1.0,1.0,2.0,0,1,2,,3.0,1.0,,64.0,2,,2.0,2.0,64.0,,6.0
259_2_1,25902,1,1,19550105,57,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,80.0,,2,,2.0,2.0,65.0,,2.0
259_5_1,25905,2,1,19390802,73,1,4.0,,,0,1,2,,2.0,2.0,65.0,,2,,2.0,2.0,70.0,,4.0
259_6_1,25906,2,1,19321004,79,11,4.0,,,0,1,2,,5.0,2.0,30.0,,2,,2.0,2.0,70.0,,4.0
259_7_1,25907,2,1,19280301,84,6,4.0,,,0,1,2,,2.0,2.0,78.0,,2,,2.0,2.0,84.0,,4.0
259_11_1,25911,2,1,19441202,67,9,4.0,,,0,1,2,,2.0,2.0,80.0,,2,,2.0,2.0,76.0,,6.0
260_2_1,26002,1,1,19370110,75,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,70.0,,2,,2.0,2.0,74.0,,5.0
260_4_1,26004,1,1,19630522,49,3,1.0,1.0,2.0,0,1,1,6.0,,,,,1,5.0,,,,,6.0
260_5_1,26005,1,1,19570415,55,4,1.0,1.0,2.0,0,1,2,,3.0,1.0,,85.0,2,,3.0,2.0,73.0,,3.0
260_6_1,26006,1,1,19510401,61,5,1.0,1.0,2.0,0,1,2,,4.0,2.0,63.0,,2,,2.0,2.0,69.0,,7.0
260_8_1,26008,1,1,19570417,55,4,1.0,1.0,2.0,0,1,2,,2.0,2.0,76.0,,2,,2.0,2.0,73.0,,6.0
260_9_1,26009,1,1,19640915,47,11,1.0,1.0,2.0,0,1,2,,2.0,1.0,,75.0,2,,1.0,1.0,,80.0,7.0
260_12_1,26012,1,1,19550406,57,5,1.0,1.0,2.0,0,1,2,,2.0,2.0,67.0,,2,,2.0,2.0,78.0,,4.0
261_2_1,26102,2,1,19500501,62,4,4.0,,,0,1,2,,2.0,2.0,74.0,,2,,2.0,2.0,67.0,,7.0
261_7_1,26107,1,1,19850409,27,4,1.0,1.0,2.0,0,1,1,5.0,,,,,1,4.0,,,,,6.0
261_8_1,26108,1,1,19490930,62,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,80.0,,2,,2.0,2.0,70.0,,6.0
261_9_1,26109,1,1,19561028,55,10,1.0,1.0,2.0,0,1,2,,2.0,1.0,,86.0,2,,2.0,2.0,76.0,,8.0
261_10_1,26110,1,1,19520203,60,7,1.0,1.0,2.0,0,1,2,,2.0,1.0,,80.0,2,,2.0,2.0,60.0,,5.0
262_1_1,26201,1,1,19460902,66,0,1.0,1.0,2.0,0,1,2,,3.0,2.0,66.0,,2,,2.0,2.0,68.0,,7.0
262_2_1,26202,1,1,19620110,50,8,1.0,1.0,2.0,0,1,2,,3.0,1.0,,70.0,2,,2.0,2.0,70.0,,6.0
262_3_1,26203,1,1,19650312,47,5,1.0,1.0,2.0,0,1,2,,5.0,2.0,25.0,,2,,2.0,2.0,82.0,,4.0
262_5_1,26205,1,1,19570224,55,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,88.0,2,,3.0,2.0,61.0,,6.0
262_6_1,26206,1,1,19690725,43,1,1.0,1.0,2.0,0,1,2,,3.0,2.0,64.0,,2,,2.0,2.0,65.0,,8.0
262_7_1,26207,1,1,19520112,60,7,1.0,1.0,2.0,0,1,2,,3.0,2.0,69.0,,2,,3.0,2.0,74.0,,1.0
262_8_1,26208,1,1,19710409,41,5,1.0,1.0,2.0,0,1,2,,2.0,1.0,,62.0,2,,3.0,1.0,,72.0,4.0
262_12_1,26212,1,1,19760109,36,8,1.0,1.0,2.0,0,1,2,,3.0,1.0,,60.0,2,,3.0,1.0,,67.0,6.0
263_1_1,26301,1,1,19630609,49,3,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,1.0,2.0,66.0,,6.0
263_2_1,26302,1,1,19681118,43,9,1.0,1.0,2.0,0,1,2,,3.0,1.0,,63.0,2,,3.0,1.0,,75.0,5.0
263_3_1,26303,1,1,19520613,60,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,78.0,,2,,1.0,1.0,,84.0,5.0
263_4_1,26304,1,1,19590118,53,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,86.0,,2,,2.0,1.0,,90.0,1.0
263_5_1,26305,1,1,19441206,67,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,82.0,,2,,1.0,2.0,75.0,,6.0
263_7_1,26307,1,1,19560813,56,1,1.0,1.0,2.0,1,1,2,,1.0,2.0,80.0,,2,,2.0,2.0,85.0,,6.0
263_8_1,26308,1,1,19620410,50,5,1.0,1.0,2.0,0,1,2,,1.0,1.0,,80.0,2,,2.0,2.0,70.0,,7.0
263_9_1,26309,1,1,19720919,40,0,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,9.0,2.0,55.0,,7.0
